spindle_speed_rpm,depth_of_cut_mm,feed_rate_mm_per_tooth,vibration_rms,cutting_force_N,label_chatter
4326.31,2.283,0.0989,0.872,18.37,0
3771.92,1.558,0.0906,0.478,50.81,0
7998.22,4.476,0.0928,1.384,110.82,1
5296.95,2.381,0.1148,0.505,51.19,0
6109.22,3.908,0.1062,1.68,68.43,1
4524.79,2.35,0.0612,0.689,26.18,0
3811.09,0.718,0.1028,0.375,14.11,0
5977.31,4.914,0.0856,1.165,60.16,1
4305.6,3.023,0.1153,1.628,119.86,1
7257.93,4.658,0.0978,1.471,80.51,1
3729.43,4.762,0.1093,2.741,100.08,1
4851.94,3.589,0.1536,2.099,81.59,1
7758.31,2.207,0.1522,2.802,74.37,1
6445.71,2.865,0.156,2.465,71.24,1
7141.38,3.342,0.1987,2.005,92.33,1
4958.5,2.372,0.1641,1.685,76.02,1
2786.99,1.036,0.0145,0.245,23.28,0
3972.16,1.076,0.1072,0.624,69.79,0
3446.48,2.082,0.1637,1.93,116.42,1
4689.98,0.614,0.0755,0.513,65.79,0
4994.23,1.887,0.093,0.301,13.25,0
4717.43,2.761,0.1541,1.98,73.46,1
3659.14,1.623,0.0626,0.603,33.41,0
3091.55,2.584,0.089,2.625,118.22,1
7246.24,2.411,0.1999,1.034,80.64,1
3085.11,0.973,0.0284,0.278,22.56,0
6176.87,2.239,0.1854,2.446,107.87,1
1236.7,0.652,0.0177,0.753,60.69,0
7046.39,3.058,0.0991,1.055,63.03,1
4003.49,1.679,0.0491,0.136,40.4,0
2022.71,2.042,0.1195,0.364,45.89,0
7147.76,4.033,0.1945,2.158,82.46,1
3895.17,4.205,0.1934,2.288,78.61,1
2614.79,0.489,0.0455,0.349,62.4,0
5638.09,2.852,0.1068,2.795,62.78,1
5246.92,4.692,0.1913,1.166,62.91,1
2709.15,2.307,0.1142,0.345,52.58,0
5902.91,0.789,0.0331,0.297,46.7,0
3607.67,0.904,0.1136,0.136,43.49,0
2586.43,0.954,0.0691,0.632,50.66,0
3086.46,0.673,0.0706,0.491,61.5,0
1408.9,2.47,0.0984,0.432,53.09,0
5262.63,4.214,0.1533,2.621,91.62,1
2532.35,0.854,0.1148,0.215,59.67,0
1477.65,1.656,0.0864,0.461,29.97,0
3511.08,0.193,0.1169,0.253,55.18,0
5352.8,3.622,0.0805,1.32,67.28,1
5980.43,1.688,0.0117,0.434,49.49,0
2287.71,2.069,0.0822,0.577,19.89,0
4243.99,4.105,0.1955,1.059,109.36,1
3168.51,0.139,0.1181,0.487,21.58,0
5145.56,0.617,0.1164,0.748,18.14,0
4223.31,4.608,0.093,1.654,95.4,1
6639.29,2.808,0.1063,1.347,87.56,1
1466.63,0.31,0.0208,0.613,50.42,0
4406.5,1.396,0.0687,0.892,14.25,0
2894.93,2.184,0.0472,0.691,11.53,0
4612.22,1.381,0.0343,0.754,36.84,0
1877.26,0.658,0.1126,0.818,38.54,0
5420.94,3.581,0.08,2.064,118.33,1
4818.41,1.51,0.0139,0.238,69.5,0
4305.84,1.803,0.0651,0.342,60.75,0
5326.18,4.697,0.1026,1.077,79.6,1
3965.88,0.757,0.0678,0.883,13.24,0
3780.94,4.004,0.1789,2.768,97.16,1
7860.67,4.607,0.1115,2.351,89.32,1
4055.12,0.978,0.0209,0.774,33.86,0
2183.0,0.939,0.1046,0.255,39.53,0
5990.2,2.568,0.1297,1.648,75.35,1
7024.41,3.287,0.1978,2.281,76.28,1
3115.53,2.422,0.0646,0.691,12.16,0
3892.76,1.443,0.0428,0.607,56.02,0
2252.28,2.356,0.0978,0.135,27.66,0
1912.46,0.353,0.0585,0.198,52.38,0
3214.88,4.306,0.1484,2.813,64.33,1
4156.51,4.815,0.1781,1.608,89.25,1
3756.57,1.085,0.024,0.609,48.4,0
5227.66,0.497,0.0316,0.435,60.47,0
7407.16,4.521,0.1451,2.271,61.93,1
4346.57,1.473,0.0812,0.636,39.49,0
2583.94,1.455,0.0833,0.623,57.54,0
4420.13,3.431,0.0962,1.434,114.85,1
5561.9,2.034,0.1317,1.62,67.79,1
4154.88,0.163,0.0675,0.76,69.91,0
7443.29,4.453,0.1289,1.049,96.79,1
7266.93,2.719,0.1197,1.591,119.36,1
2808.94,1.534,0.0262,0.275,31.08,0
4424.15,2.177,0.0436,0.709,39.34,0
5041.18,3.608,0.1043,1.251,75.08,1
5272.26,1.547,0.0514,0.602,43.22,0
5466.95,2.192,0.072,0.765,12.57,0
5439.28,1.261,0.0821,0.842,60.28,0
5123.44,4.014,0.1154,2.071,92.74,1
1013.44,1.403,0.11,0.766,19.41,0
2693.35,0.767,0.0135,0.088,38.2,0
1643.16,2.433,0.0505,0.151,39.74,0
7790.9,4.741,0.1453,1.4,61.07,1
1611.22,0.298,0.0184,0.093,22.45,0
3287.06,0.748,0.0119,0.206,51.46,0
3368.73,4.191,0.1655,2.902,95.37,1
4782.07,2.716,0.128,2.13,61.86,1
4179.5,2.303,0.1057,0.732,53.05,0
3239.65,4.113,0.1733,2.442,70.35,1
7893.49,4.538,0.1428,2.477,90.58,1
6251.07,3.875,0.1653,1.369,111.88,1
2484.3,0.932,0.1137,0.524,63.96,0
7285.15,2.764,0.1843,2.636,89.81,1
2218.33,2.376,0.0258,0.3,43.63,0
4961.5,1.222,0.0754,0.061,10.47,0
4753.59,0.968,0.0671,0.492,31.78,0
4922.25,4.678,0.1724,2.063,85.03,1
3442.75,4.276,0.1889,1.634,70.34,1
7578.22,2.612,0.0834,1.934,99.21,1
5717.02,4.867,0.1924,1.292,79.46,1
2924.19,0.974,0.0214,0.791,55.36,0
4994.61,1.097,0.1107,0.054,41.73,0
4767.63,0.965,0.0348,0.119,65.13,0
2779.57,0.937,0.0543,0.549,17.98,0
2432.68,2.339,0.0227,0.278,12.36,0
4057.83,2.472,0.1584,1.23,77.15,1
3016.15,3.22,0.1282,1.62,96.52,1
2944.75,2.049,0.0766,0.347,14.7,0
3309.54,2.453,0.0691,0.275,10.23,0
5074.22,1.569,0.1164,0.64,12.83,0
1424.52,1.582,0.0748,0.44,52.83,0
1608.77,0.362,0.1032,0.36,21.6,0
2568.34,1.925,0.0407,0.394,61.83,0
1080.65,0.225,0.0576,0.278,25.22,0
5820.63,2.684,0.0889,1.404,75.72,1
4210.45,4.459,0.0995,1.459,96.17,1
5104.2,3.381,0.1565,1.846,80.99,1
5941.73,1.766,0.0278,0.572,33.48,0
3734.06,4.376,0.0884,1.163,63.76,1
6663.64,3.16,0.1969,1.916,67.13,1
5984.18,3.294,0.1841,2.557,106.29,1
7784.97,4.514,0.1029,2.6,74.89,1
7163.42,4.074,0.122,1.904,99.91,1
1456.48,0.197,0.0881,0.064,30.14,0
6842.92,3.995,0.1626,1.35,112.98,1
5474.89,0.225,0.072,0.594,64.97,0
5268.42,2.425,0.1799,1.873,97.56,1
6778.5,3.855,0.0953,2.677,67.63,1
3131.76,2.431,0.0249,0.855,49.94,0
1160.99,2.175,0.1195,0.388,32.77,0
3738.82,0.114,0.0316,0.673,62.04,0
3320.37,2.736,0.1484,1.644,61.85,1
1485.19,0.1,0.0932,0.589,21.3,0
7230.39,4.748,0.1947,2.655,77.29,1
7184.66,3.718,0.099,1.497,103.42,1
3552.11,0.641,0.0373,0.64,33.07,0
2771.32,0.559,0.0311,0.875,67.47,0
2990.93,0.681,0.0367,0.469,44.42,0
5246.46,2.491,0.1801,2.346,112.87,1
5903.82,1.662,0.0569,0.146,29.12,0
4041.32,3.219,0.1194,1.815,76.58,1
7561.95,3.405,0.1732,2.646,60.2,1
5917.16,3.3,0.1649,1.862,83.32,1
4481.56,1.166,0.0941,0.618,35.41,0
1829.69,1.195,0.0402,0.812,46.72,0
1692.08,1.081,0.0521,0.084,68.63,0
3390.43,2.396,0.1884,2.803,88.24,1
3339.94,1.057,0.0391,0.076,27.1,0
7461.08,3.92,0.1517,1.577,98.22,1
2715.89,1.305,0.0984,0.416,49.0,0
7710.28,4.493,0.1431,1.549,84.57,1
1654.47,0.688,0.1064,0.126,37.38,0
4459.85,2.27,0.0986,0.85,21.12,0
5720.8,1.804,0.09,0.185,66.17,0
7016.83,3.136,0.1094,1.518,84.01,1
5637.88,0.496,0.0743,0.69,10.08,0
7742.52,3.603,0.1822,1.845,107.15,1
7304.42,4.356,0.1072,1.035,110.05,1
5448.66,2.02,0.1903,1.75,109.11,1
3364.57,1.356,0.0773,0.544,69.7,0
4307.1,2.412,0.1687,1.754,89.78,1
4729.1,4.65,0.1317,1.658,63.43,1
4709.31,0.606,0.0981,0.119,11.04,0
7590.92,4.483,0.1196,1.361,62.63,1
1242.9,1.111,0.1063,0.769,57.97,0
6127.45,4.428,0.1365,1.911,100.32,1
4735.32,3.727,0.0829,1.93,109.54,1
3600.05,1.892,0.1125,0.248,45.03,0
5309.08,4.077,0.103,2.415,106.9,1
1755.64,0.907,0.083,0.254,50.78,0
3845.02,1.279,0.0783,0.216,23.25,0
4131.55,0.415,0.0676,0.124,24.79,0
4529.78,2.191,0.1709,2.722,60.6,1
2994.38,0.885,0.0704,0.063,13.3,0
7155.84,3.635,0.1922,2.566,64.57,1
2462.45,0.658,0.0694,0.457,12.35,0
5058.22,0.752,0.0614,0.063,10.2,0
4266.82,1.085,0.09,0.806,67.93,0
5815.02,2.219,0.1088,0.637,64.0,0
6499.05,4.187,0.1078,1.406,92.16,1
4511.02,2.185,0.1655,2.03,87.96,1
6624.82,2.376,0.1664,1.012,115.76,1
5832.18,4.215,0.1672,2.465,96.46,1
6368.89,4.512,0.0823,2.895,76.41,1
5404.88,3.826,0.1346,1.056,108.79,1
5918.15,0.581,0.053,0.361,52.89,0
6711.05,3.766,0.1011,2.864,111.24,1
5584.16,0.766,0.0214,0.482,37.9,0
3736.81,3.684,0.1335,1.048,67.52,1
1934.52,1.57,0.013,0.394,54.82,0
2971.85,0.67,0.0297,0.688,35.23,0
6914.11,4.854,0.1602,2.587,118.33,1
3050.43,2.752,0.1581,2.251,112.38,1
4367.27,3.78,0.174,2.009,95.57,1
5949.92,4.226,0.1771,2.992,118.11,1
7294.23,4.911,0.1111,2.704,76.59,1
7080.96,4.772,0.0857,1.825,103.37,1
4973.79,2.879,0.1943,2.131,64.06,1
3276.6,4.293,0.1393,1.089,61.67,1
6032.01,4.998,0.1364,2.869,70.68,1
1855.41,1.725,0.0623,0.646,20.1,0
3121.53,1.074,0.0585,0.371,17.05,0
7766.77,4.982,0.1729,1.503,88.53,1
3018.29,3.472,0.1592,1.428,96.85,1
6724.4,4.642,0.143,1.043,119.5,1
4315.05,3.182,0.1701,2.913,100.91,1
3667.42,3.955,0.1513,2.746,83.93,1
5038.96,1.727,0.0472,0.312,68.36,0
5184.48,2.711,0.1075,2.48,110.48,1
3913.36,0.985,0.0746,0.79,29.12,0
3141.74,1.23,0.047,0.818,65.66,0
4723.9,0.765,0.0342,0.668,62.09,0
7731.36,4.568,0.1652,2.014,74.31,1
2191.25,1.858,0.0369,0.071,52.6,0
3761.85,1.88,0.0267,0.622,61.66,0
5526.71,2.289,0.1179,0.134,53.16,0
5873.37,3.896,0.1916,2.716,67.62,1
5591.99,2.497,0.0829,0.555,28.88,0
4095.4,4.324,0.1356,1.977,79.43,1
7776.83,4.653,0.1546,1.233,65.56,1
3821.8,1.216,0.0812,0.33,30.16,0
4384.9,2.441,0.1534,2.71,109.78,1
3404.69,2.721,0.1505,2.98,71.75,1
3766.29,0.321,0.0345,0.394,14.29,0
7911.08,3.379,0.1913,1.994,71.71,1
3294.41,3.11,0.1379,1.234,104.39,1
5329.32,1.955,0.115,0.489,52.63,0
6620.97,3.081,0.139,1.638,102.45,1
5331.55,0.457,0.0496,0.326,50.17,0
6513.14,4.249,0.1296,1.334,99.29,1
1415.97,2.338,0.0673,0.462,27.21,0
3762.28,2.565,0.1003,1.194,81.1,1
5208.35,0.939,0.0887,0.262,14.0,0
5941.64,2.266,0.0651,0.508,29.73,0
1037.13,2.389,0.1096,0.748,11.09,0
5717.82,3.75,0.1155,2.37,112.61,1
3201.64,0.187,0.0991,0.78,62.36,0
3192.86,2.483,0.1115,0.521,20.98,0
2561.31,1.806,0.0516,0.832,44.46,0
2468.57,1.617,0.0957,0.89,36.56,0
4758.22,1.323,0.0217,0.436,11.16,0
5637.92,2.366,0.1139,0.348,69.47,0
7167.43,2.098,0.0815,2.755,68.35,1
6466.12,3.867,0.095,1.602,106.88,1
5945.17,1.791,0.0995,0.58,33.04,0
4458.51,0.595,0.0591,0.618,12.89,0
5131.7,1.831,0.0293,0.522,10.01,0
1027.73,1.569,0.0946,0.444,60.64,0
3528.42,2.845,0.187,1.833,96.62,1
7334.75,2.167,0.0909,1.348,101.92,1
2996.89,1.674,0.0947,0.889,27.72,0
1578.09,2.195,0.0677,0.225,41.85,0
7690.36,3.766,0.1666,2.9,63.39,1
5791.98,4.396,0.1678,1.595,74.68,1
1513.18,0.132,0.0907,0.262,53.12,0
5714.13,2.328,0.1135,2.266,75.11,1
3865.89,3.53,0.0821,2.353,84.58,1
7572.07,4.65,0.185,1.818,61.38,1
4597.34,0.558,0.1083,0.326,40.0,0
3623.52,2.154,0.1933,2.331,92.12,1
6402.67,3.839,0.1598,2.134,71.24,1
3565.64,1.803,0.0871,0.384,21.26,0
3318.26,1.65,0.0424,0.492,53.12,0
4892.97,2.049,0.1611,2.945,110.88,1
4940.94,2.161,0.029,0.417,39.3,0
1395.74,0.813,0.0102,0.068,10.46,0
2204.28,2.217,0.013,0.236,41.28,0
7670.44,2.834,0.1611,1.429,97.77,1
3405.13,0.659,0.0783,0.432,56.56,0
3929.68,1.686,0.0141,0.419,64.97,0
5927.8,2.131,0.0142,0.345,62.84,0
3154.31,0.405,0.0778,0.147,12.71,0
5138.6,4.584,0.1044,1.088,63.73,1
4841.85,4.578,0.1973,2.345,68.19,1
3713.18,0.324,0.114,0.118,59.17,0
6844.08,2.27,0.0957,2.363,104.87,1
2141.32,0.804,0.0413,0.158,13.91,0
6689.93,2.4,0.1088,2.609,75.41,1
2208.43,0.316,0.0671,0.327,55.24,0
6819.28,2.582,0.0949,1.323,60.96,1
3408.42,3.789,0.0914,2.876,103.7,1
3828.21,2.373,0.0351,0.646,38.21,0
3186.77,3.402,0.1885,2.999,102.76,1
3253.18,1.72,0.0825,0.414,68.49,0
4124.52,0.816,0.0936,0.219,47.63,0
1396.83,0.59,0.0853,0.683,34.3,0
5034.84,1.971,0.046,0.311,34.55,0
4830.82,3.702,0.1064,1.533,92.56,1
3404.66,0.161,0.1109,0.548,44.33,0
3576.42,3.675,0.1875,2.645,107.93,1
3168.85,2.519,0.1068,2.729,97.97,1
5211.71,1.187,0.1063,0.104,14.93,0
3900.26,2.389,0.0917,2.644,67.55,1
2990.22,0.998,0.0474,0.692,14.12,0
4324.36,1.797,0.0328,0.664,15.45,0
4119.76,1.132,0.0372,0.259,18.94,0
6364.13,4.03,0.1222,1.922,87.75,1
3874.47,2.767,0.1789,2.763,103.26,1
7686.81,3.261,0.1115,1.877,67.88,1
1908.14,1.959,0.0148,0.473,24.59,0
7996.01,2.598,0.1159,2.128,119.56,1
4638.68,3.623,0.1912,2.524,110.64,1
3417.4,4.212,0.1537,2.429,101.24,1
3102.25,4.08,0.1844,1.107,69.72,1
2509.73,1.183,0.0922,0.225,12.17,0
4499.17,0.158,0.1194,0.348,27.29,0
3129.34,1.403,0.0835,0.404,31.51,0
5140.97,3.047,0.126,2.172,111.35,1
7665.59,2.246,0.1515,2.39,99.68,1
4900.21,2.286,0.1877,1.786,79.41,1
7678.33,3.483,0.1304,1.567,83.87,1
4044.61,2.303,0.1196,2.652,63.66,1
3902.27,2.552,0.1697,1.448,60.34,1
7862.59,3.42,0.0994,2.272,105.83,1
7637.53,4.107,0.1437,2.692,76.3,1
1333.87,2.11,0.0419,0.149,40.33,0
4825.48,0.899,0.1183,0.623,61.17,0
3074.13,2.331,0.0888,0.463,28.44,0
2606.59,0.423,0.0852,0.344,15.81,0
7605.42,3.671,0.154,1.447,118.7,1
2030.48,1.116,0.0399,0.679,52.61,0
5743.17,3.637,0.1905,2.367,60.14,1
4097.31,3.867,0.1783,1.257,76.51,1
4307.82,0.823,0.0788,0.498,17.59,0
3725.34,0.304,0.0933,0.77,31.37,0
6981.14,4.533,0.1148,2.78,82.07,1
2430.7,1.164,0.0532,0.377,39.7,0
5689.6,4.796,0.1386,1.688,98.3,1
5831.83,4.44,0.0969,1.206,72.78,1
4064.47,1.532,0.1048,0.314,19.02,0
5499.54,4.942,0.1693,1.504,103.39,1
2593.83,1.734,0.0868,0.315,19.9,0
3868.87,0.688,0.017,0.359,23.77,0
3129.15,0.21,0.0827,0.331,29.44,0
5976.43,3.846,0.1696,2.199,105.2,1
7326.22,2.306,0.0804,1.682,90.86,1
5818.71,4.189,0.1306,2.392,91.36,1
5976.79,2.279,0.0578,0.453,36.4,0
7436.94,2.276,0.1827,1.315,93.25,1
5606.48,3.995,0.1072,1.905,60.68,1
4015.3,0.119,0.0661,0.062,59.31,0
7144.92,4.001,0.1543,2.058,67.84,1
3668.1,3.627,0.1287,2.551,66.81,1
3424.55,2.472,0.0781,0.1,55.01,0
1298.39,0.668,0.0434,0.879,58.32,0
7016.15,4.205,0.1745,2.793,102.12,1
2523.84,0.986,0.0972,0.866,39.91,0
4740.21,3.24,0.1456,1.798,98.99,1
3056.01,2.136,0.1189,2.08,70.66,1
2685.33,0.595,0.0823,0.811,23.94,0
7722.29,3.949,0.1679,2.915,89.95,1
3657.44,4.473,0.1792,1.503,91.67,1
5917.61,1.752,0.0607,0.524,44.17,0
6972.52,2.279,0.1691,2.313,86.24,1
5745.72,4.474,0.1275,2.891,65.8,1
7696.48,4.065,0.151,1.72,75.84,1
2875.93,0.633,0.0757,0.174,41.19,0
2713.82,0.641,0.0221,0.834,54.68,0
3449.27,2.029,0.1896,1.804,113.55,1
1603.14,0.139,0.0724,0.379,51.88,0
6680.02,4.119,0.1521,1.571,89.72,1
5549.36,0.875,0.0461,0.184,14.43,0
5279.09,4.813,0.1117,1.973,65.7,1
3910.88,1.16,0.0327,0.189,28.22,0
3960.78,4.601,0.1678,1.246,108.07,1
3757.96,0.347,0.0588,0.44,31.28,0
3870.32,2.172,0.0941,0.474,39.63,0
5377.28,1.463,0.0524,0.376,20.79,0
3597.43,0.397,0.0701,0.382,14.27,0
3833.72,2.976,0.1082,1.042,111.71,1
1216.11,0.806,0.1075,0.318,68.29,0
3857.73,4.731,0.138,1.073,115.42,1
5247.16,0.969,0.0545,0.24,61.53,0
4744.0,2.619,0.0908,1.442,74.5,1
6783.15,2.04,0.09,2.172,87.37,1
3191.07,0.198,0.028,0.256,56.11,0
6580.94,2.816,0.1871,1.517,64.23,1
5451.85,2.938,0.1517,2.155,66.17,1
4588.79,0.993,0.0633,0.678,53.72,0
6384.53,2.668,0.1007,1.544,90.39,1
3362.73,4.596,0.1846,1.977,81.87,1
7086.25,2.174,0.115,2.511,102.09,1
6379.7,4.619,0.1769,1.035,98.08,1
4192.75,2.643,0.1176,1.686,73.08,1
4543.25,2.926,0.1137,2.329,102.78,1
5196.22,2.13,0.0502,0.102,64.99,0
4655.37,0.898,0.0613,0.695,16.85,0
4904.99,0.772,0.0229,0.24,19.72,0
4064.67,3.272,0.1769,1.32,65.33,1
2717.28,2.074,0.0135,0.437,25.96,0
7032.77,4.159,0.1577,2.447,61.4,1
1217.96,1.912,0.0668,0.217,66.91,0
3759.71,2.584,0.1167,1.7,112.98,1
3108.01,2.649,0.0977,1.264,80.83,1
3057.85,1.665,0.1089,0.459,65.45,0
5026.79,2.928,0.1008,1.141,66.39,1
2038.18,1.494,0.0926,0.555,32.4,0
4776.8,2.786,0.0917,2.083,113.68,1
4172.0,0.775,0.0779,0.846,48.75,0
5659.66,1.601,0.0207,0.063,59.55,0
5426.63,1.254,0.045,0.217,16.55,0
5232.53,0.449,0.0603,0.557,16.39,0
6053.87,3.177,0.1204,2.873,78.58,1
4543.82,3.623,0.1328,2.315,110.4,1
7560.06,2.382,0.1883,2.949,67.34,1
1529.54,1.114,0.1156,0.718,27.79,0
